year,college_code,college_name,branch_code,branch_name,district,college_type,category,cutoff,category_display
2022,2636,"A V S Engineering College, Military Road, Ammapet, Salem District 636003",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,Salem,Private,OC,134.0,OC
2022,2639,"Narasu's Sarathy Institute of Technology, Poosaripatty Village, Omalur Taluk, Salem District 636305",CS,COMPUTER SCIENCE AND ENGINEERING,Salem,Private,OC,144.0,OC
2022,2639,"Narasu's Sarathy Institute of Technology, Poosaripatty Village, Omalur Taluk, Salem District 636305",IT,INFORMATION TECHNOLOGY,Salem,Private,OC,111.5,OC
2022,2640,"Jayalakshmi Institute of Technology, Thoppur, Dharmapuri District 635352",CS,COMPUTER SCIENCE AND ENGINEERING,Dharmapuri,Private,OC,135.33,OC
2022,2640,"Jayalakshmi Institute of Technology, Thoppur, Dharmapuri District 635352",ME,MECHANICAL ENGINEERING,Dharmapuri,Private,OC,120.5,OC
2022,2641,"Varuvan Vadivelan Institute of Technology, Nallanahalli, Dharmapuri District 636701",CS,COMPUTER SCIENCE AND ENGINEERING,Dharmapuri,Private,OC,136.0,OC
2022,2642,"P S V College of Engineeering and Technology, Mittapalli, Balinayanapalli Post, Elathagiri, Krishnagiri District 635108",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,Krishnagiri,Private,OC,148.0,OC
2022,2642,"P S V College of Engineeering and Technology, Mittapalli, Balinayanapalli Post, Elathagiri, Krishnagiri District 635108",IT,INFORMATION TECHNOLOGY,Krishnagiri,Private,OC,142.0,OC
2022,2646,"Tagore Institute of Engineering and Technology, Deviyakurichi, Attur Taluk, Salem District 636112",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,Salem,Private,OC,104.5,OC
2022,2646,"Tagore Institute of Engineering and Technology, Deviyakurichi, Attur Taluk, Salem District 636112",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,Salem,Private,OC,115.5,OC
2022,2647,"J K K Nataraja College of Engineering and Technology, Komarapalayam Amani, Thattankuttai Panchayat, Namakkal District 638183",CS,COMPUTER SCIENCE AND ENGINEERING,Namakkal,Private,OC,123.0,OC
2022,2648,"Annapoorana Engineering College (Autonomous), Sankari Main Road, NH-47, Periaseeragapadi, Salem District 636308",AU,AUTOMOBILE ENGINEERING,Salem,Private,OC,142.0,OC
2022,2648,"Annapoorana Engineering College (Autonomous), Sankari Main Road, NH-47, Periaseeragapadi, Salem District 636308",CE,CIVIL ENGINEERING,Salem,Private,OC,165.5,OC
2022,2650,"Christ The King Engineering College, Cecilia Gardens, Chikkarampalayam Village, Coimbatore District 641104",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,Coimbatore,Private,OC,124.0,OC
2022,2650,"Christ The King Engineering College, Cecilia Gardens, Chikkarampalayam Village, Coimbatore District 641104",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,Coimbatore,Private,OC,102.0,OC
2022,2651,"Jai Shriram Engineering College, Dharapuram Road, Avinashi Palayam, Tiruppur District 638660",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,Tiruppur,Private,OC,144.5,OC
2022,2651,"Jai Shriram Engineering College, Dharapuram Road, Avinashi Palayam, Tiruppur District 638660",CE,CIVIL ENGINEERING,Tiruppur,Private,OC,116.5,OC
2022,2652,"AL-Ameen Engineering College (Autonomous), Karundevan Palayam, Nanjai Uthukuli Post, Erode District 638104",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,Erode,Private,OC,144.5,OC
2022,2652,"AL-Ameen Engineering College (Autonomous), Karundevan Palayam, Nanjai Uthukuli Post, Erode District 638104",ME,MECHANICAL ENGINEERING,Erode,Private,OC,111.0,OC
2022,2653,"Knowledge Institute of Technology, KIOT Campus, Kakapalayam Post, Salem District 637504",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,Salem,Private,OC,98.5,OC
2022,2653,"Knowledge Institute of Technology, KIOT Campus, Kakapalayam Post, Salem District 637504",CS,COMPUTER SCIENCE AND ENGINEERING,Salem,Private,OC,135.0,OC
2022,2656,"Builders Engineering college, Nathakadaiyur, Erode Road, Palayakottai Village, Kangeyam, Tiruppur District 638108",CE,CIVIL ENGINEERING,Tiruppur,Private,OC,135.0,OC
2022,2656,"Builders Engineering college, Nathakadaiyur, Erode Road, Palayakottai Village, Kangeyam, Tiruppur District 638108",ME,MECHANICAL ENGINEERING,Tiruppur,Private,OC,128.5,OC
2022,2659,"Salem College of Engineering and Technology, Salem-Attur Main Road, NH-68, Mettupatty Perumapalayam, Salem District 636111",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,Salem,Private,OC,126.0,OC
2022,2659,"Salem College of Engineering and Technology, Salem-Attur Main Road, NH-68, Mettupatty Perumapalayam, Salem District 636111",BM,BIO MEDICAL ENGINEERING,Salem,Private,OC,102.0,OC
